SENT	1534E-ANSHEL,1r.3
1	dr_veyl	C	דר_װײל	dr_VYl	_
2	es	ES	עס	es	_
3	gimeyniklikh	ADJ	גימײניקליך	gymYnyklyX	_
4	iz	BEF	איז	Ayz	_
5	givardn	VBN	גיװאַרדן	gyVAardN	_
6	ds	C	דס	ds	_
7	mn	PRO	מן	mN	_
8	ali	Q	אַלי	Aaly	_
9	vrburgni	ADJ	װרבורגני	Vrbvrgny	_
10	zkh	N	זך	zX	_
11	in	P	אין	AyN	_
12	boykhr	N	בױכר	bWxr	_
13	an	P	אַן	AaN	_
14	tag	N	תּג	Tg	_
15	brengt	VBF	ברענגט	brengt	_
16	tsu	P	צו	qv	_
17	doyts	N	דױץ	dWQ	_
18	urzkh	N	אורזך	AvrzX	_
19	ds	WPRO	דס	ds	_
20	eyn	D	אײן	AYN	_
21	iklikhr	Q	איקליכר	Ayklyxr	_
22	gimeynr	ADJ	גימײנר	gymYnr	_
23	man	N	מאַן	mAaN	_
24	mg	MDF	מג	mg	_
25	visn	VB	װיסן	VysN	_
26	dunkt	VBF	דונקט	dvnkt	_
27	mikh	PRO	מיך	myX	_
28	gut	ADJ	גוט	gvt	_
29	zeyn	VB	זײן	zYN	_
30	eyn	D	אײן	AYN	_
31	noyes	ADJ	נױעס	nWes	_
32	boykhleyn	N	בױכלײן	bWxlYN	_
33	an	P	אַן	AaN	_
34	tag	N	תּג	Tg	_
35	tsu	TO	צו	qv	_
36	brengn	VB	ברענגן	brengN	_
37	ds	C	דס	ds	_
38	man	PRO	מאַן	mAaN	_
39	oys	P	אױס	AWs	_
40	dizm	D	דיזם	dyzM	_
41	boykleyn	N	בױקלײן	bWklYN	_
42	mag	MDF	מאַג	mAag	_
43	lernn	VB	לערנן	lernN	_
44	ds	D	דס	ds	_
45	gnts	ADJ	גנץ	gnQ	_
46	esrim	H	עסרים	esryM	twenty
47	uarbe	H	אואַרבע	AvAarbe	and_four
48	gnts	ADJ	גנץ	gnQ	_
49	doyts	N	דױץ	dWQ	_

SENT	1534E-ANSHEL,1r.4
1	ali	Q	אַלי	Aaly	_
2	vartr	N	װאַרטר	VAartr	_
3	di	WPRO	די	dy	_
4	mn	PRO	מן	mN	_
5	fint	VBF	פֿינט	fynt	_
6	durkh	P	דורך	dvrX	_
7	ds	D	דס	ds	_
8	gnts	ADJ	גנץ	gnQ	_
9	esrim	H	עסרים	esryM	twenty
10	uarbe	H	אואַרבע	AvAarbe	and_four
11	zint	BEF	זינט	zynt	_
12	nun	ADV	נ	n	_
13	ali	Q	אַלי	Aaly	_
14	gishribn	VAN	גישריבן	gy$rybN	_
15	in	P	אין	AyN	_
16	ebri	ADJ	עברי	ebry	_
17	ktibh	N	קטיבה	ktybh	_
18	un	CONJ	און	AvN	_
19	dz	D	דז	dz	_
20	doytsh	N	דױטש	dWt$	_
21	drbey	DR+P	דרבײ	drbY	_
22	un	CONJ	און	AvN	_
23	drbey	DR+P	דרבײ	drbY	_
24	gitseykhnt	VAN	גיצײכנט	gyqYxnt	_
25	bey	P	בײ	bY	_
26	iklikhm	Q	איקליכם	AyklyxM	_
27	vart	N	װאַרט	VAart	_
28	un	CONJ	און	AvN	_
29	vart	N	װאַרט	VAart	_
30	vau	WADV	װאַו	VAav	_
31	mn	PRO	מן	mN	_
32	ds	D	דס	ds	_
33	vart	N	װאַרט	VAart	_
34	vint	VBF	װינט	Vynt	_
35-36	im	P~D	אים	AyM	_
35	i	P	אי	Ay	_
36	m	D	מ	m	_
37	gntsin	ADJ	גנצין	gnqyN	_
38	esrim	H	עסרים	esryM	twenty
39	uarbe	H	אואַרבע	AvAarbe	and_four
40	in	P	אין	AyN	_
41	velkhm	WD	װעלכם	VelxM	_
42	sfr	N	ספֿר	sfr	_
43	un	CONJ	און	AvN	_
44	in	P	אין	AyN	_
45	velkhem	WD	װעלכעם	VelxeM	_
46	kpitl	N	קפּיטל	kpytl	_
47	un	CONJ	און	AvN	_
48	in	P	אין	AyN	_
49	velkhm	WD	װעלכם	VelxM	_
50	psuk	N	פּסוק	psvk	_

SENT	1534E-ANSHEL,1r.5
1	un	CONJ	און	AvN	_
2	vis	VBI	װיס	Vys	_
3	rsg	H	רסג	rsg	UNKNOWN
4	eyn	H	אײן	AYN	UNKNOWN
5	di	H	די	dy	UNKNOWN
6	prshiut	H	פּרשיִוט	pr$yivt	UNKNOWN

SENT	1534E-ANSHEL,1r.6
1	di	D	די	dy	_
2	kpitln	N	קפּיטלן	kpytlN	_
3	di	WPRO	די	dy	_
4	da	ADV	דאַ	dAa	_
5	gitseykhint	VAN	גיצײכינט	gyqYxynt	_
6	zeyn	BEF	זײן	zYN	_
7	in	P	אין	AyN	_
8	al	Q	אַל	Aal	_
9	den	D	דען	deN	_
10	gidruktn	ADJ	גידרוקטן	gydrvktN	_
11	sfrim	N	ספֿרים	sfryM	_
12	esrim	H	עסרים	esryM	twenty
13	uarbe	H	אואַרבע	AvAarbe	and_four
14	di	WPRO	די	dy	_
15	mn	PRO	מן	mN	_
16	hut	HVF	הוט	hvt	_
17	gdrukt	VBN	גדרוקט	gdrvkt	_
18	nakh	P	נ"ך	n"X	_
19	den	D	דען	deN	_
20	zelbn	ADJ	זעלבן	zelbN	_
21	kpitln	N	קפּיטלן	kpytlN	_
22	hab	HVF	האַב	hAab	_
23	ikh	PRO	איך	AyX	_
24	meyni	PRO$	מײני	mYny	_
25	simnim	N	סימנים	symnyM	_
