SENT	1723W-SIMKHES,63.3
1	moshol	N	מאָשאָל	mAo$Aol	_
2	.	PUNC	.	.	_

SENT	1723W-SIMKHES,63.4
1	eyner	PRO	אײנער	AYner	_
2	hot	HVF	האָט	hAot	_
3	gehot	VBN	געהאָט	gehAot	_
4	eyn	D	אײן	AYN	_
5	shenen	ADJ	שענען	$eneN	_
6	gorten	N	גאָרטען	gAorteN	_
7	.	PUNC	.	.	_

SENT	1723W-SIMKHES,63.5
1	un	CONJ	און	AvN	_
2	eyn	D	אײן	AYN	_
3	fogel	N	פֿאָגעל	fAogel	_
4	iz	BEF	איז	Ayz	_
5	ale	Q	אַלע	Aale	_
6	tog	N	טאָג	tAog	_
7	kumen	VBN	קומען	kvmeN	_

SENT	1723W-SIMKHES,63.6
1	un	CONJ	און	AvN	_
2	hot	HVF	האָט	hAot	_
3	grosen	ADJ	גראָסען	grAoseN	_
4	shoden	N	שאָדען	$AodeN	_
5	geton	VBN	געטאָן	getAoN	_
6-7	im	P~D	אים	AyM	_
6	i	P	אי	Ay	_
7	m	D	מ	m	_
8	gorten	N	גאָרטען	gAorteN	_
9	.	PUNC	.	.	_

SENT	1723W-SIMKHES,63.7
1	nun	INTJ	נ	n	_
2	der	D	דער	der	_
3	her	N	הער	her	_
4	iz	BEF	איז	Ayz	_
5	im	PRO	אים	AyM	_
6-7	nokhgeshtanden	RP~VBN	נאָכגעשטאַנדען	nAoxge$tAandeN	_
6	nokh	RP	נאָך	nAoX	_
7	geshtanden	VBN	געשטאַנדען	ge$tAandeN	_

SENT	1723W-SIMKHES,63.8
1	un	CONJ	און	AvN	_
2	hot	HVF	האָט	hAot	_
3	im	PRO	אים	AyM	_
4	gefangen	VBN	געפֿאַנגען	gefAangeN	_
5	in	P	אין	AyN	_
6	zeyner	PRO$	זײנער	zYner	_
7	nets	N	נעץ	neQ	_
8	.	PUNC	.	.	_

SENT	1723W-SIMKHES,63.9
1	un	CONJ	און	AvN	_
