SENT	1910E-GRINE-FELDER,63.3
1	ershter	ADJ	ערשטער	er$ter	_
2	akt	N	אַקט	Aakt	_
3	.	PUNC	.	.	_
4-5	oyfn	P~D	אױפֿן	AWfN	_
4	oyf	P	אױפֿ	AWf	_
5	n	D	ן	N	_
6	yishev	N	ייִשובֿ	yyi$v~	_
7	bay	P	בײַ	bYa	_
8	dovid	NPR	דוד	dvd	_
9	noyekhn	NPR	נחן	nHN	_
10	,	PUNC	,	,	_
11	onheyb	N	אָנהײב	AonhYb	_
12	friling	N	פֿרילינג	frylyng	_
13	.	PUNC	.	.	_
14	arum	P	אַרום	AarvM	_
15	halbn	ADJ	האַלבן	hAalbN	_
16	tog	N	טאָג	tAog	_
17	.	PUNC	.	.	_
18	rekhts	ADV	רעכטס	rexts	_
19	-	PUNC	-	-	_
20	a	D	אַ	Aa	_
21	dorfish	ADJ	דאָרפֿיש	dAorfy$	_
22	shtibl	N	שטיבל	$tybl	_
23	.	PUNC	.	.	_
24	links	ADV	לינקס	lynks	_
25	-	PUNC	-	-	_
26	a	D	אַ	Aa	_
27	shtal	N	שטאַל	$tAal	_
28	.	PUNC	.	.	_
29	in	P	אין	AyN	_
30	hintergrunt	N	הינטערגרונט	hyntergrvnt	_
31	tsit	VBF	ציט	qyt	_
32	zikh	PRO	זיך	zyX	_
33	avek	RP-ADV	אַװעק	AaVek	_
34	a	D	אַ	Aa	_
35	kartofl-gortn	N	קאַרטאָפֿל-גאָרטן	kAartAofl-gAortN	_
36	.	PUNC	.	.	_
37	etlekhe	Q	עטלעכע	etlexe	_
38	frukhtbeymer	N	פֿרוכטבײמער	frvxtbYmer	_
39	grinen	VBF	גרינען	gryneN	_
40	.	PUNC	.	.	_
41-42	baym	P~D	בײַם	bYaM	_
41	bay	P	בײַ	bYa	_
42	m	D	ם	M	_
43	tsoym	N	צױם	qWM	_
44	fun	P	פֿון	fvN	_
45	gortn	N	גאָרטן	gAortN	_
46	-	PUNC	-	-	_
47	a	D	אַ	Aa	_
48	brunem	N	ברונעם	brvneM	_
49	.	PUNC	.	.	_
50	rokhl	NPR	רחל	rHl	_
51	zitst	VBF	זיצט	zyqt	_
52-53	farn	P~D	פֿאַרן	fAarN	_
52	far	P	פֿאַר	fAar	_
53	n	D	ן	N	_
54	shtub	N	שטוב	$tvb	_
55	,	PUNC	,	,	_
