SENT	1927E-ZARETSKI-SHOLEM,5.3
1	koydemkol	ADV	קודם-כּל	kvdM-Kl	_
2	darf	MDF	דאַרף	dAarF	_
3	men	PRO	מען	meN	_
4	derklern	VB	דערקלערן	derklerN	_
5	,	PUNC	,	,	_
6	vos	WPRO	װאָס	VAos	_
7	iz	VBF	איז	Ayz	_
8	azoyns	ADJ	אַזױנס	AazWns	_
9	"	PUNC	"	"	_
10	ort	N	אָרט	Aort	_
11	in	P	אין	AyN	_
12	zats	N	זאַץ	zAaQ	_
13	"	PUNC	"	"	_
14	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,5.4
1	dos	D	דאָס	dAos	_
2	"	PUNC	"	"	_
3	ort	N	אָרט	Aort	_
4	in	P	אין	AyN	_
5	zats	N	זאַץ	zAaQ	_
6	"	PUNC	"	"	_
7	darf	MDF	דאַרף	dAarF	_
8	men	PRO	מען	meN	_
9	rekhenen	VB	רעכענען	rexeneN	_
10	nit	NEG	ניט	nyt	_
11	loyt	P	לוט	lvt	_
12	der	D	דער	der	_
13	tsal	N	צאַל	qAal	_
14	bazundere	ADJ	באַזונדערע	bAazvndere	_
15	verter	N	װערטער	Verter	_
16	,	PUNC	,	,	_

SENT	1927E-ZARETSKI-SHOLEM,5.5
1	m'	PRO	מ'	m'	_
2	darf	MDF	דאַרף	dAarF	_
3	dos	D	דאָס	dAos	_
4	rekhenen	VB	רעכענען	rexeneN	_
5	loyt	P	לוט	lvt	_
6	der	D	דער	der	_
7	tsol	N	צאָל	qAol	_
8	gantse	ADJ	גאַנצע	gAanqe	_
9	grupes	N	גרופּעס	grvpes	_
10	;	PUNC	;	;	_

SENT	1927E-ZARETSKI-SHOLEM,5.6
1	a	D	אַ	Aa	_
2	shteyger	N	שטײגער	$tYger	_
3	:	PUNC	:	:	_
4	dos	D	דאָס	dAos	_
5	meserl	N	מעסערל	meserl	_
6	meyns	PRO$	מײנס	mYns	_
7	hot	HVF	האָט	hAot	_
8	men	PRO	מען	meN	_
9	farvorfn	VBN	פֿאַרװאָרפֿן	fAarVAorfN	_
10	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,6.7
1	do	ADV	דאָ	dAo	_
2	iz	VBF	איז	Ayz	_
3-4	afn	P~D	אַפֿן	AafN	_
3	af	P	אַף	AaF	_
4	n	D	נ	n	_
5	erstn	ADJ	ערסטן	erstN	_
6	ort	N	אָרט	Aort	_
7	di	D	די	dy	_
8	grupe	N	גרופּע	grvpe	_
9	"	PUNC	"	"	_
10	dos	D	דאָס	dAos	_
11	meserl	N	מעסערל	meserl	_
12	meyns	PRO$	מײנס	mYns	_
13	"	PUNC	"	"	_
14	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,6.8
1	men	PRO	מען	meN	_
2	kan	MDF	ק"ן	k"N	_
3	nit	NEG	ניט	nyt	_
4-5	opteyln	RP~VB	אָפּטײלן	AoptYlN	_
4	op	RP	אָפּ	Aop	_
5	teyln	VB	טײלן	tYlN	_
6	"	PUNC	"	"	_
7	mayns	PRO$	מײַנס	mYans	_
8	"	PUNC	"	"	_
9	fun	P	פֿון	fvN	_
10	"	PUNC	"	"	_
11	dos	D	דאָס	dAos	_
12	meserl	N	מעסערל	meserl	_
13	"	PUNC	"	"	_
14	.	PUNC	.	.	_
15	un	CONJ	און	AvN	_
16	zogn	VB	זאָגן	zAogN	_
17	,	PUNC	,	,	_
18	a	D	אַ	Aa	_
19	shteyger	N	שטײגער	$tYger	_
20	,	PUNC	,	,	_
21	"	PUNC	"	"	_
22	dos	D	דאָס	dAos	_
23	mesrl	N	מעסרל	mesrl	_
24	hot	HVF	האָט	hAot	_
25	men	PRO	מען	meN	_
26	mayns	PRO$	מײַנס	mYans	_
27	farvorfn	VBN	פֿאַרװאָרפֿן	fAarVAorfN	_
28	"	PUNC	"	"	_
29	,	PUNC	,	,	_

SENT	1927E-ZARETSKI-SHOLEM,6.9
1-2	afn	P~D	אַפֿן	AafN	_
1	af	P	אַף	AaF	_
2	n	D	נ	n	_
3	tsveytn	ADJ	צװײטן	qVYtN	_
4	ort	N	אָרט	Aort	_
5	dos	D	דאָס	dAos	_
6	perzonvort	N	פּערזאָנװאָרט	perzAonVAort	_
7	"	PUNC	"	"	_
8	hot	HVF	האָט	hAot	_
9	"	PUNC	"	"	_
10	,	PUNC	,	,	_

SENT	1927E-ZARETSKI-SHOLEM,6.10
1-2	afn	P~D	אַפֿן	AafN	_
1	af	P	אַף	AaF	_
2	n	D	נ	n	_
3	dritn	ADJ	דריטן	drytN	_
4	-	PUNC	-	-	_
5	der	D	דער	der	_
6	subyekt	N	סוביעקט	svbyekt	_
7	"	PUNC	"	"	_
8	men	PRO	מען	meN	_
9	"	PUNC	"	"	_
10	,	PUNC	,	,	_
11	u.a.v.	X	או.אַ.װ.	Av.Aa.V.	_

SENT	1927E-ZARETSKI-SHOLEM,6.11
1	nokh	ADV	נאָך	nAoX	_
2	a	D	אַ	Aa	_
3	beyshpil	N	בײשפּיל	bY$pyl	_
4	:	PUNC	:	:	_
5	gekumen	VBN	געקומען	gekvmeN	_
6	fun	P	פֿון	fvN	_
7	kheyder	N	חדר	Hdr	_
8	,	PUNC	,	,	_
9	khap	VBF	כאַפּ	xAap	_
10	ikh	PRO	איך	AyX	_
11	zikh	PRO	זיך	zyX	_
12	bald	ADV	באַלד	bAald	_
13	aroys	ADV	אַרױס	AarWs	_
14	in	P	אין	AyN	_
15	hoyf	N	הױף	hWF	_
16	arayn	ADV	אַרײַן	AarYaN	_
17	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,6.12
1	do	ADV	דאָ	dAo	_
2	iz	VBF	איז	Ayz	_
3-4	afn	P~D	אַפֿן	AafN	_
3	af	P	אַף	AaF	_
4	n	D	נ	n	_
5	erstn	ADJ	ערסטן	erstN	_
6	ort	N	אָרט	Aort	_
7	di	D	די	dy	_
8	grupe	N	גרופּע	grvpe	_
9	"	PUNC	"	"	_
10	gekumen	VBN	געקומען	gekvmeN	_
11	fun	P	פֿון	fvN	_
12	kheyder	N	חדר	Hdr	_
13	"	PUNC	"	"	_
14	,	PUNC	,	,	_
15-16	afn	P~D	אַפֿן	AafN	_
15	af	P	אַף	AaF	_
16	n	D	נ	n	_
17	tsveytn	ADJ	צװײטן	qVYtN	_
18	ort	N	אָרט	Aort	_
19	dos	D	דאָס	dAos	_
20	perzonvort	N	פּערזאָנװאָרט	perzAonVAort	_
21	"	PUNC	"	"	_
22	khap	VBF	כאַפּ	xAap	_
23	"	PUNC	"	"	_
24	,	PUNC	,	,	_
